2021-01-04 09:25:03,032| ThreadPoolExecutor-0_4| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_121720o.fits
2021-01-04 09:25:03,136| ThreadPoolExecutor-0_3| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,137| ThreadPoolExecutor-0_3| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_101126o_tmax200_raw.fits
2021-01-04 09:25:03,137| ThreadPoolExecutor-0_3| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_101126o_tmax200_raw.fits
2021-01-04 09:25:03,137| ThreadPoolExecutor-0_3| INFO | ====> Starting acor
2021-01-04 09:25:03,137| ThreadPoolExecutor-0_3| INFO | Generating auto corr tmax = 200
2021-01-04 09:25:03,200| ThreadPoolExecutor-0_2| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,201| ThreadPoolExecutor-0_2| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_074836o_tmax200_raw.fits
2021-01-04 09:25:03,201| ThreadPoolExecutor-0_2| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_074836o_tmax200_raw.fits
2021-01-04 09:25:03,201| ThreadPoolExecutor-0_2| INFO | ====> Starting acor
2021-01-04 09:25:03,201| ThreadPoolExecutor-0_2| INFO | Generating auto corr tmax = 200
2021-01-04 09:25:03,224| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,225| ThreadPoolExecutor-0_1| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:25:03,225| ThreadPoolExecutor-0_1| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:25:03,226| ThreadPoolExecutor-0_1| INFO | ====> Starting acor
2021-01-04 09:25:03,226| ThreadPoolExecutor-0_1| INFO | Generating auto corr tmax = 200
2021-01-04 09:25:03,228| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| INFO | ====> Starting acor
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| INFO | Generating auto corr tmax = 200
2021-01-04 09:35:27,802| ThreadPoolExecutor-0_0| INFO | == finished in 624.7965846061707 s
2021-01-04 09:35:27,803| ThreadPoolExecutor-0_0| INFO | ====> Starting ccor
2021-01-04 09:35:27,803| ThreadPoolExecutor-0_0| INFO | Generating cross corr tmax = 200
2021-01-04 09:35:30,864| ThreadPoolExecutor-0_1| INFO | == finished in 627.6382613182068 s
2021-01-04 09:35:30,865| ThreadPoolExecutor-0_1| INFO | ====> Starting ccor
2021-01-04 09:35:30,865| ThreadPoolExecutor-0_1| INFO | Generating cross corr tmax = 200
2021-01-04 09:35:38,496| ThreadPoolExecutor-0_3| INFO | == finished in 635.3587672710419 s
2021-01-04 09:35:38,496| ThreadPoolExecutor-0_3| INFO | ====> Starting ccor
2021-01-04 09:35:38,497| ThreadPoolExecutor-0_3| INFO | Generating cross corr tmax = 200
2021-01-04 09:35:42,306| ThreadPoolExecutor-0_4| INFO | == finished in 639.0760447978973 s
2021-01-04 09:35:42,307| ThreadPoolExecutor-0_4| INFO | ====> Starting ccor
2021-01-04 09:35:42,307| ThreadPoolExecutor-0_4| INFO | Generating cross corr tmax = 200
2021-01-04 09:35:53,086| ThreadPoolExecutor-0_2| INFO | == finished in 649.8847289085388 s
2021-01-04 09:35:53,087| ThreadPoolExecutor-0_2| INFO | ====> Starting ccor
2021-01-04 09:35:53,087| ThreadPoolExecutor-0_2| INFO | Generating cross corr tmax = 200
2021-01-04 09:51:57,669| ThreadPoolExecutor-0_0| INFO | == finished in 989.8652436733246 s
2021-01-04 09:51:57,669| ThreadPoolExecutor-0_0| INFO | ====> writing fits
2021-01-04 09:51:57,670| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:51:57,670| ThreadPoolExecutor-0_0| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:51:57,716| ThreadPoolExecutor-0_0| INFO | ---> saving ccor
2021-01-04 09:51:57,773| ThreadPoolExecutor-0_0| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:51:57,773| ThreadPoolExecutor-0_0| INFO | ====> Graphing
2021-01-04 09:51:57,962| ThreadPoolExecutor-0_0| DEBUG| path created: /home/emcewen/out_sim/20201222/plots/acor_png/
2021-01-04 09:51:57,964| ThreadPoolExecutor-0_0| DEBUG| Graphing: graph_3_rows_t_mat
2021-01-04 09:51:58,867| ThreadPoolExecutor-0_0| INFO | /home/emcewen/out_sim/20201222/plots/acor_png/20201222_aocb_2020122_012857o_raw_acor_avg_0.png
2021-01-04 09:51:59,016| ThreadPoolExecutor-0_0| DEBUG| path created: /home/emcewen/out_sim/20201222/plots/acor_avg_gif/
2021-01-04 09:51:59,017| ThreadPoolExecutor-0_0| DEBUG| Graphing: gif_3_mat
2021-01-04 09:52:04,930| ThreadPoolExecutor-0_1| INFO | == finished in 994.064843416214 s
2021-01-04 09:52:04,931| ThreadPoolExecutor-0_1| INFO | ====> writing fits
2021-01-04 09:52:04,931| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:52:04,931| ThreadPoolExecutor-0_1| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:04,961| ThreadPoolExecutor-0_1| INFO | ---> saving ccor
2021-01-04 09:52:05,016| ThreadPoolExecutor-0_1| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_043832o_tmax200_raw.fits
2021-01-04 09:52:05,016| ThreadPoolExecutor-0_1| INFO | ====> Graphing
2021-01-04 09:52:05,186| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_png/
2021-01-04 09:52:05,187| ThreadPoolExecutor-0_1| DEBUG| Graphing: graph_3_rows_t_mat
2021-01-04 09:52:06,026| ThreadPoolExecutor-0_1| INFO | /home/emcewen/out_sim/20201222/plots/acor_png/20201222_aocb_2020122_043832o_raw_acor_avg_0.png
2021-01-04 09:52:06,168| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_avg_gif/
2021-01-04 09:52:06,168| ThreadPoolExecutor-0_1| DEBUG| Graphing: gif_3_mat
2021-01-04 09:52:08,375| ThreadPoolExecutor-0_0| INFO | /home/emcewen/out_sim/20201222/plots/acor_avg_gif/20201222_aocb_2020122_012857o_raw_acor_avg_0.gif
2021-01-04 09:52:09,790| ThreadPoolExecutor-0_0| DEBUG| path created: /home/emcewen/out_sim/20201222/plots/ccor_all_png/
2021-01-04 09:52:09,791| ThreadPoolExecutor-0_0| DEBUG| Graphing: graph_5_5_ccor
2021-01-04 09:52:10,810| ThreadPoolExecutor-0_0| INFO | /home/emcewen/out_sim/20201222/plots/ccor_all_png/20201222_aocb_2020122_012857o_raw_ccor_all_0.png
2021-01-04 09:52:11,592| ThreadPoolExecutor-0_0| DEBUG| path created: /home/emcewen/out_sim/20201222/plots/ccor_all_gif/
2021-01-04 09:52:11,592| ThreadPoolExecutor-0_0| DEBUG| Graphing: cor_animate_all
2021-01-04 09:52:16,147| ThreadPoolExecutor-0_1| INFO | /home/emcewen/out_sim/20201222/plots/acor_avg_gif/20201222_aocb_2020122_043832o_raw_acor_avg_0.gif
2021-01-04 09:52:17,498| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/ccor_all_png/
2021-01-04 09:52:17,498| ThreadPoolExecutor-0_1| DEBUG| Graphing: graph_5_5_ccor
2021-01-04 09:52:18,622| ThreadPoolExecutor-0_1| INFO | /home/emcewen/out_sim/20201222/plots/ccor_all_png/20201222_aocb_2020122_043832o_raw_ccor_all_0.png
2021-01-04 09:52:19,941| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/ccor_all_gif/
2021-01-04 09:52:19,942| ThreadPoolExecutor-0_1| DEBUG| Graphing: cor_animate_all
2021-01-04 09:52:30,219| ThreadPoolExecutor-0_0| INFO | /home/emcewen/out_sim/20201222/plots/ccor_all_gif/20201222_aocb_2020122_012857o_raw_ccor_all_0.gif
2021-01-04 09:52:30,219| ThreadPoolExecutor-0_0| INFO | ===> complete
2021-01-04 09:52:30,223| ThreadPoolExecutor-0_0| INFO | ======== 20201222_aocb_2020122_012857o ========
2021-01-04 09:52:30,223| ThreadPoolExecutor-0_0| INFO | == sub_len = 5 
2021-01-04 09:52:30,223| ThreadPoolExecutor-0_0| INFO | == s_sub = False 
2021-01-04 09:52:30,224| ThreadPoolExecutor-0_0| INFO | == tt_sub = False 
2021-01-04 09:52:30,224| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:52:30,224| ThreadPoolExecutor-0_0| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:52:30,233| ThreadPoolExecutor-0_0| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:52:30,249| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:52:30,250| ThreadPoolExecutor-0_0| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:52:30,250| ThreadPoolExecutor-0_0| DEBUG| fits found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:52:30,251| ThreadPoolExecutor-0_0| INFO | ---> Pulling data from fits file :  /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
